ID,vi,surfaceTension,radius,cTime,maxDeflection,coefOfRestitution
Fri121905,-0.021,27,0.95,4.6872,0.035521979,0.943575102034716
Fri122723,-0.02,27,0.95,4.7064,0.0345724639,0.948923892984832
Fri123544,-0.019,27,0.95,4.74,0.0337111324,0.959014851445797
Fri124407,-0.018,27,0.95,4.8056,0.0330682579,0.986897772863471
Fri125236,-0.017,27,0.95,4.8384,0.0321974432,0.994525702588456
Fri130111,-0.016,27,0.95,4.8696,0.0312757928,0.987271365202539
Fri130947,-0.015,27,0.95,4.936,0.0304498253,0.970338780490818
Fri131832,-0.014,27,0.95,5.0224,0.0297494659,0.962751017626555
Fri132724,-0.013,27,0.95,5.112,0.0291506065,0.965633356554782
Fri133626,-0.012,27,0.95,5.1408,0.0282902471,0.97405649349705
Fri134529,-0.011,27,0.95,5.1856,0.0275304154,0.976539572525669
Fri135436,-0.01,27,0.95,5.2544,0.0268765337,0.976280080583905
Fri140806,-0.009,27,0.95,5.3704,0.02636385,0.986697187459102
Fri141733,-0.008,27,0.95,5.5352,0.0258576332,0.978389906342025
Fri142722,-0.007,27,0.95,5.7112,0.0252547236,0.903361508274277
Fri143725,-0.006,27,0.95,6.0128,0.0247242243,0.715671656749101
Fri144753,-0.005,27,0.95,6.2088,0.0242929972,0.701615738735061
Fri145848,-0.004,27,0.95,Inf,0.0239567415,NaN
Fri151023,-0.003,27,0.95,Inf,0.0236913482,NaN
Fri152207,-0.002,27,0.95,Inf,0.0234543454,NaN
Fri153359,-0.001,27,0.95,Inf,0.0233126032,NaN
Fri154555,-0.05,27,0.995,4.3175,0.0674531336,0.921798960832557
Fri155038,-0.04,27,0.995,4.47,0.0577306852,0.949694348116604
Fri155525,-0.03,27,0.995,4.6288,0.0477787691,0.969133901223161
Fri160330,-0.029,27,0.995,4.6704,0.0470392467,0.987677320589424
Fri161135,-0.028,27,0.995,4.6872,0.0459982172,0.986005868283862
Fri161941,-0.027,27,0.995,4.7272,0.0449260023,0.964809352366517
Fri163242,-0.026,27,0.995,4.7528,0.0439242843,0.963735317712503
Fri164053,-0.025,27,0.995,4.7832,0.0430356344,0.975806643196534
Fri164909,-0.024,27,0.995,4.8272,0.0422624053,0.992097121183217
Fri165719,-0.023,27,0.995,4.8344,0.041188591,0.992941292054133
Fri170534,-0.022,27,0.995,4.8648,0.0401831324,0.98659555292563
Fri171348,-0.021,27,0.995,4.916,0.0392781602,0.979871114615115
Fri172213,-0.02,27,0.995,4.9776,0.0386691863,1.00932186433383
Fri173039,-0.019,27,0.995,5.0224,0.0376022715,0.979452509100262
Fri173907,-0.018,27,0.995,5.0392,0.0366174827,0.985423074806586
Fri174740,-0.017,27,0.995,5.0688,0.0357270176,0.989919070598009
Fri175612,-0.016,27,0.995,5.128,0.0349912225,0.996162809739046
Fri180450,-0.015,27,0.995,5.1952,0.0342726885,0.995093421595249
Fri181335,-0.014,27,0.995,5.2928,0.0333330532,0.924740409981465
Fri182231,-0.013,27,0.995,5.3568,0.0324929513,0.920965096562561
Fri183131,-0.012,27,0.995,5.4384,0.0317609995,0.928713281043165
Fri184038,-0.011,27,0.995,5.5728,0.0312134836,0.943101987184748
Fri184957,-0.01,27,0.995,5.6944,0.0304724986,0.925181865040102
Fri185933,-0.009,27,0.995,5.84,0.0297694958,0.889898124288395
Fri190935,-0.008,27,0.995,6.0408,0.0291630798,0.835176984934872
Fri191945,-0.007,27,0.995,6.3608,0.0286266325,0.739734774082512
Fri193033,-0.006,27,0.995,6.5768,0.028164546,0.758604254228311
Fri194130,-0.005,27,0.995,Inf,0.0276693548,NaN
Fri195302,-0.004,27,0.995,Inf,0.0272762508,NaN
Fri200440,-0.003,27,0.995,Inf,0.02698175,NaN
Fri201626,-0.002,27,0.995,Inf,0.0267810451,NaN
Fri202821,-0.001,27,0.995,Inf,0.0266486666,NaN
Fri121829,-0.05,27,1.75,10.228,0.1998199371,0.9895584245269
Fri122822,-0.04,27,1.75,10.6016,0.1789834731,0.998574144229249
Fri123833,-0.03,27,1.75,11.2648,0.1596407548,0.979655604604466
Fri124917,-0.029,27,1.75,11.316,0.1577074468,0.979011365041573
Fri130001,-0.028,27,1.75,11.3808,0.1559064554,0.979891492590434
Fri131048,-0.027,27,1.75,11.4968,0.1545596252,0.993916888005157
Fri132143,-0.026,27,1.75,11.584,0.1526916685,0.986220543418584
Fri133237,-0.025,27,1.75,11.696,0.1508899815,0.976147146483119
Fri134332,-0.024,27,1.75,11.8688,0.1491585052,0.957446130604193
Fri135428,-0.023,27,1.75,11.9648,0.1476267261,0.965287535592274
Fri140803,-0.022,27,1.75,12.084,0.1461677669,0.97341042637597
Fri141910,-0.021,27,1.75,12.1944,0.1445135128,0.9684218410548
